SF2SA1DB,HHTYPC,STHHTYC,HHADULEC,NUMKHHEC,RAECURF,INCDECEP,INCDECE,ABSGID,ABSCID,ABSUID,ABSBID,ABSSID,ABSFID,ABSDID,ABSEID,ABSKID,ABSTID,INCSRCHA,INCSRCHB,INCSRCHC,INCSRCHD,INCSRCHE,HSRCCDE,WINDGHH,FDSECQ1,FDSECQ2,LEVEL1,HHC0T14,HH15OV,NUMPERHH,NOATSIHH,ATSI0T14,ATSI18OV,ATSI0T17,ATSI15OV,ABSHID,ABSLFID
1,6,1,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,1,1,7,1,8,8,7,1,7,1,INP13B1000067,0
5,3,1,3,0,1,7,6,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,1,0,3,3,2,0,2,0,2,INP13B1000068,0
4,3,1,3,1,1,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,1,3,4,2,1,1,1,1,INP13B1000069,0
1,6,3,4,4,2,5,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,4,4,8,8,4,4,4,4,INP13B1000070,0
1,6,1,2,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,6,4,10,10,6,2,8,4,INP13B1000071,0
1,6,4,3,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,1,1,1,4,5,5,1,3,2,4,INP13B1000072,0
1,1,5,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000073,0
1,6,2,5,5,2,7,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,5,5,10,10,5,5,5,5,INP13B1000074,0
2,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000075,0
1,3,1,2,3,2,9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,5,0,1,3,2,5,5,3,2,3,2,INP13B1000076,0
1,4,1,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,4,1,5,5,4,1,4,1,INP13B1000077,0
1,2,1,2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,2,2,2,0,2,0,2,INP13B1000078,0
2,3,1,3,0,1,10,9,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,1,0,3,3,1,0,1,0,1,INP13B1000079,0
1,3,1,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,1,2,3,2,1,1,1,1,INP13B1000080,0
2,6,4,3,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,4,4,4,0,3,1,4,INP13B1000081,0
1,6,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,2,2,2,0,1,1,2,INP13B1000082,0
1,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000083,0
2,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000084,0
1,1,5,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,1,1,0,1,1,1,0,1,0,1,INP13B1000085,0
1,4,1,4,0,2,7,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,0,4,4,4,0,4,0,4,INP13B1000086,0
1,3,1,2,2,1,8,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,2,2,4,3,2,1,2,1,INP13B1000087,0
2,6,1,2,2,2,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,2,2,4,2,2,0,2,0,INP13B1000088,0
1,6,2,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,5,0,1,2,4,6,6,2,3,3,4,INP13B1000089,0
3,1,5,1,0,1,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000090,0
1,3,1,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,1,1,1,1,2,3,3,1,2,1,2,INP13B1000091,0
2,3,1,2,3,1,4,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,3,2,5,4,3,1,3,1,INP13B1000092,0
1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,1,1,2,2,1,1,1,1,INP13B1000093,0
